battery_id,chemistry,failure_mode,cycle,health,degradation_rate,RUL,temperature,soc,R_s,R_10kHz,R_1kHz,R_100Hz,R_10Hz,R_1Hz,R_ct,C_dl,Warburg_slope,Warburg_intercept,freq_min_imag,freq_phase_45,Z_mag_1kHz,Z_mag_100Hz,phase_1kHz,phase_100Hz,phase_min,R_ct_R_s_ratio
BAT_0000,NMC_622,SEI_growth,0,100.0,0.0,66666.66666666667,22.77623976390616,53.18902184689384,0.03781258852232169,0.03781258852232169,0.1496180970975097,0.1496180970975097,0.1496180970975097,0.1496180970975097,0.085,1.8724110951987685,0.001,0.17143994025577527,1.0,2.0,0.15169730927737426,0.15169730927737426,-9.497195898540184,-9.497195898540184,-34.71707200267741,2.2479286217028607
BAT_0000,NMC_622,SEI_growth,25,99.07361906437536,0.0003722794117647058,51234.68680140332,32.95375377612589,69.35851602045886,0.028251491743394006,0.028251491743394006,0.11035831429716583,0.11035831429716583,0.11035831429716583,0.11035831429716583,0.0925,0.8602969896859207,0.001,0.12214268438582909,2.0,2.0,0.11150521572126254,0.11150521572126254,-8.224813111012129,-8.224813111012129,-32.92613839790792,3.274163390739503
BAT_0000,NMC_622,SEI_growth,50,98.04653812831243,0.00039455882352941175,45738.52376911091,28.41007814400908,63.77412528337864,0.033157180216512,0.033157180216512,0.1395626990991895,0.1395626990991895,0.1395626990991895,0.1395626990991895,0.1,1.5915494309189535,0.001,0.16564452677000646,1.0,2.0,0.1412967697596662,0.1412967697596662,-8.98566181765991,-8.98566181765991,-33.42064705686356,3.0159380063990135
BAT_0000,NMC_622,SEI_growth,75,96.92207628054058,0.00041683823529411774,40596.26696337129,29.950373323996992,53.714116580797786,0.03274065970422831,0.03274065970422831,0.14305943650029587,0.14305943650029587,0.14305943650029587,0.14305943650029587,0.10750000000000001,1.4805110985292589,0.001,0.15742297942527117,1.0,2.0,0.1442815516502195,0.1442815516502195,-7.462688624894943,-7.462688624894943,-34.578167141420444,3.2833791674062347
BAT_0000,NMC_622,SEI_growth,100,95.70383983122177,0.00043911764705882356,35762.26083466445,30.78758356605188,73.63475577560627,0.03314586453029141,0.03314586453029141,0.15337990073143437,0.15337990073143437,0.15337990073143437,0.15337990073143437,0.11500000000000002,1.3839560268860462,0.001,0.17387296865928237,1.0,2.0,0.15474524632972292,0.15474524632972292,-7.616757144511313,-7.616757144511313,-36.156924428600256,3.469512762139711
BAT_0000,NMC_622,SEI_growth,125,94.395703055459,0.00046139705882352944,31200.248853265708,25.25261860708719,70.751731085735,0.04132189360028691,0.04132189360028691,0.18761542865840491,0.18761542865840491,0.18761542865840491,0.18761542865840491,0.12250000000000003,1.2992240252399616,0.001,0.21955526263192754,1.0,2.0,0.18977712913511463,0.18977712913511463,-8.656185627593329,-8.656185627593329,-37.70797485910188,2.9645301637180896
BAT_0000,NMC_622,SEI_growth,150,93.00178768611543,0.0004836764705882353,26881.166392698375,27.515843960212457,73.88580587327634,0.03934224648205618,0.03934224648205618,0.17216228478445733,0.17216228478445733,0.17216228478445733,0.17216228478445733,0.13000000000000003,1.2242687930145792,0.001,0.2034850111230671,1.0,2.0,0.17405152962049505,0.17405152962049505,-8.449605873628816,-8.449605873628816,-41.8200111360542,3.3043359651384536
BAT_0000,NMC_622,SEI_growth,175,91.52644130769522,0.0005059558823529412,22781.51457413966,25.342123349541808,73.23388093146104,0.04312045434927835,0.04312045434927835,0.18568095680342026,0.18568095680342026,0.18568095680342026,0.18568095680342026,0.13750000000000004,1.157490495213784,0.001,0.22653096121140048,1.0,2.0,0.18804559884924385,0.18804559884924385,-9.095883694312402,-9.095883694312402,-35.97409265294168,3.188741910886224
BAT_0000,NMC_622,SEI_growth,200,89.9742148095482,0.0005282352941176472,18882.14384881062,20.811072471797257,77.88788887594205,0.052086729932722585,0.052086729932722585,0.23705192067199105,0.23705192067199105,0.23705192067199105,0.23705192067199105,0.14500000000000005,1.0976202971854847,0.001,0.2838431037778103,1.0,2.0,0.2399677441963224,0.2399677441963224,-8.940927062724445,-8.940927062724445,-40.229434835913835,2.7838184540916306
BAT_0000,NMC_622,SEI_growth,225,88.34983906168556,0.0005505147058823531,15167.331539858895,20.136642429820967,80.0,0.05412168206199801,0.05412168206199801,0.25778304108722405,0.25778304108722405,0.25778304108722405,0.25778304108722405,0.15250000000000005,1.0436389710943954,0.001,0.3094081243588156,1.0,2.0,0.26123421490868065,0.26123421490868065,-9.323635861801323,-9.323635861801323,-40.4089390499972,2.8177246935028135
